nom,total,libres,occupation_pct,heure,jour_semaine,minute
Victoire,466,243,47.85,12,1,39
Tourny,950,266,72.0,12,1,39
Front Du Medoc,70,70,0.0,12,1,39
Centre Commercial Meriadeck,1230,744,39.51,12,1,39
Huit Mai 45,399,106,73.43,12,1,39
Gambetta,438,50,88.58,12,1,39
Capucins,270,0,100.0,12,1,39
Camille Jullian,338,196,42.01,12,1,39
Republique,361,120,66.76,12,1,39
Grands Hommes,415,159,61.69,12,1,39
Bourse - Jaures,1300,793,39.0,12,1,39
Salinieres,400,96,76.0,12,1,39
P3 Belcier - Gare Saint Jean,767,0,100.0,12,1,39
Parc Relais Ravezies Le Bouscat,366,45,87.7,12,1,39
Liberation,137,30,78.1,12,1,39
Laharpe,80,8,90.0,12,1,39
Parc Relais Gare De Bruges ,57,44,22.81,12,1,39
Parc Relais Floirac Dravemont,52,52,0.0,12,1,39
Floirac Arena,962,944,1.87,12,1,39
Parc Relais Le Haillan Rostand,204,136,33.33,12,1,39
Parc Relais La Gardette Sud,151,107,29.14,12,1,39
Parc Relais Lauriers,149,69,53.69,12,1,39
Parc Relais Buttiniere,600,0,100.0,12,1,39
Parc Relais Arlac,393,387,1.53,12,1,39
Parc Relais Quatre Chemins,396,217,45.2,12,1,39
Pessac Centre,400,248,38.0,12,1,39
Parc Relais Bougnard,168,168,0.0,12,1,39
Parc Relais Unitec,218,0,100.0,12,1,39
Parc Relais Gare De Pessac Alouette,148,104,29.73,12,1,39
Parc Relais Arts Et Metiers,590,593,0.0,12,1,39
Parc Relais Cap Metiers,146,131,10.27,12,1,39
Ars - Belcier,225,134,40.44,12,1,39
Parc Relais Les Pins,220,201,8.64,12,1,39
Parc Relais Villenave Pyrenees,399,163,59.15,12,1,39
Cite Mondiale,842,217,74.23,12,1,39
Gare Saint Jean,267,17,93.63,12,1,39
Porte De Bordeaux,344,94,72.67,12,1,39
Allees De Chartres,415,47,88.67,12,1,39
Parc Relais Stalingrad,120,4,96.67,12,1,39
Parc Relais Galin,279,1,99.64,12,1,39
Bergonie,69,43,37.68,12,1,39
Beaujon,92,20,78.26,12,1,39
Paludate - Saint Jean,566,127,77.56,12,1,39
